"","lon","lat","Name","Description"
"1",-73.93253,40.72795,"B0014","Long: -73.93253<br>Lat: 40.72795<br>Location: Gardner Ave & Meeker Ave"
"2",-73.93146,40.72563,"B0015","Long: -73.93146<br>Lat: 40.72563<br>Location: Gardner Ave & Cherry  St"
"3",-73.93622,40.72748,"B0018","Long: -73.93622<br>Lat: 40.72748<br>Location: Bridgewater St & Varick St"
"4",-73.95612,40.72601,"B0020","Long: -73.95612<br>Lat: 40.72601<br>Location: Meserole Ave & Banker St"
"5",-73.95865,40.73626,"B0023","Long: -73.95865<br>Lat: 40.73626<br>Location: Commercial St & Clay St"
"6",-73.95854,40.7356,"B0024","Long: -73.95854<br>Lat: 40.7356<br>Location: Franklin & Dupont Sts"
"7",-73.95999,40.73471,"B0025","Long: -73.95999<br>Lat: 40.73471<br>Location: West St & Eagle St"
"8",-73.95819,40.73346,"B0027","Long: -73.95819<br>Lat: 40.73346<br>Location: Franklin St & Green St"
"9",-73.9597,40.73257,"B0028","Long: -73.9597<br>Lat: 40.73257<br>Location: West St & Huron St"
"10",-73.95784,40.73131,"B0029","Long: -73.95784<br>Lat: 40.73131<br>Location: Franklin St & Java St"
"11",-73.95935,40.73044,"B0030","Long: -73.95935<br>Lat: 40.73044<br>Location: West St & Kent St"
"12",-73.9575,40.72917,"B0032","Long: -73.9575<br>Lat: 40.72917<br>Location: Franklin St & Milton St"
"13",-73.95901,40.72829,"B0034","Long: -73.95901<br>Lat: 40.72829<br>Location: West St & Noble St"
"14",-73.95728,40.72778,"B0035","Long: -73.95728<br>Lat: 40.72778<br>Location: Franklin St & Oak St"
"15",-73.95871,40.72617,"B0036","Long: -73.95871<br>Lat: 40.72617<br>Location: West St & Quay St"
"16",-73.95755,40.72554,"B0037","Long: -73.95755<br>Lat: 40.72554<br>Location: Meserole Ave & Franklin St"
"17",-73.95442,40.72656,"B0038","Long: -73.95442<br>Lat: 40.72656<br>Location: Meserole Ave & Guernsey St"
"18",-73.95583,40.72731,"B0039","Long: -73.95583<br>Lat: 40.72731<br>Location: Calyer St & Clifford Pl"
"19",-73.95332,40.72815,"B0040","Long: -73.95332<br>Lat: 40.72815<br>Location: Manhattan Ave & Calyer St"
